customer_id,age,gender,income_bracket,tenure_months,card_type
C100000,46,M,Mid,51,Green
C100001,24,M,Affluent,71,Gold
C100002,43,M,High,48,Gold
C100003,37,M,Mid,19,Gold
C100004,49,M,Low,6,Platinum
C100005,45,F,Low,84,Gold
C100006,33,F,Low,155,Gold
C100007,35,M,High,53,Platinum
C100008,21,F,Mid,107,Gold
C100009,36,F,High,101,Gold
C100010,24,M,Low,48,Green
C100011,35,M,Affluent,135,Green
C100012,30,F,High,69,Gold
C100013,28,M,Mid,11,Platinum
C100014,51,F,Low,143,Green
C100015,23,M,Low,131,Green
C100016,27,F,Mid,122,Gold
C100017,30,F,Mid,69,Green
C100018,32,F,Mid,23,Gold
C100019,28,F,Mid,37,Gold
C100020,34,F,Mid,9,Green
C100021,41,M,Low,15,Platinum
C100022,45,F,Mid,131,Gold
C100023,44,F,Mid,93,Gold
C100024,21,F,Mid,17,Green
C100025,42,M,High,154,Gold
C100026,42,M,Low,149,Platinum
C100027,30,F,Mid,72,Green
C100028,56,F,Mid,149,Green
C100029,49,M,Low,121,Green
C100030,35,M,Mid,11,Green
C100031,31,F,Low,166,Green
C100032,56,M,Low,72,Green
C100033,37,M,Affluent,106,Platinum
C100034,38,F,Affluent,125,Gold
C100035,38,F,High,35,Green
C100036,63,M,Mid,119,Platinum
C100037,35,F,Low,14,Green
C100038,37,F,High,14,Gold
C100039,28,F,Mid,10,Green
C100040,33,M,Low,140,Green
C100041,26,M,Mid,38,Platinum
C100042,29,M,Low,108,Green
C100043,21,M,Affluent,119,Platinum
C100044,47,M,Mid,34,Gold
C100045,39,M,High,169,Green
C100046,40,M,Mid,10,Gold
C100047,37,M,Mid,122,Gold
C100048,38,M,Mid,145,Green
C100049,55,M,Low,145,Green
C100050,29,F,Affluent,115,Green
C100051,41,M,High,1,Platinum
C100052,41,M,Affluent,12,Gold
C100053,50,M,High,103,Green
C100054,42,F,Mid,4,Platinum
C100055,43,M,Affluent,170,Green
C100056,24,F,Low,141,Green
C100057,29,F,Low,98,Green
C100058,25,M,Low,106,Gold
C100059,21,M,Mid,85,Green
C100060,42,F,Mid,121,Gold
C100061,35,M,Mid,132,Platinum
C100062,42,M,High,82,Green
C100063,38,M,Mid,19,Green
C100064,40,F,Mid,130,Green
C100065,52,M,Mid,12,Gold
C100066,38,M,Low,81,Platinum
C100067,45,M,High,74,Green
C100068,34,F,Low,98,Green
C100069,47,F,Affluent,6,Green
C100070,24,M,High,136,Green
C100071,21,F,Low,125,Gold
C100072,61,M,Low,51,Green
C100073,58,F,High,11,Green
C100074,21,M,High,127,Gold
C100075,37,F,High,140,Green
C100076,39,F,High,73,Gold
C100077,45,F,Low,2,Green
C100078,57,M,Mid,8,Platinum
C100079,26,F,Low,139,Green
C100080,26,F,High,124,Platinum
C100081,37,F,Mid,53,Green
C100082,27,M,Mid,10,Platinum
C100083,21,F,Low,112,Green
C100084,35,M,Mid,8,Gold
C100085,47,M,Mid,36,Green
C100086,37,M,High,106,Gold
C100087,44,M,Mid,14,Gold
C100088,43,M,High,86,Gold
C100089,26,M,Mid,149,Gold
C100090,38,M,Low,50,Green
C100091,21,F,High,167,Green
C100092,32,M,High,20,Gold
C100093,38,F,Mid,87,Green
C100094,37,F,High,135,Green
C100095,23,F,Mid,137,Green
C100096,26,M,Mid,129,Green
C100097,41,M,Mid,154,Gold
C100098,47,F,Low,166,Gold
C100099,35,F,Low,38,Platinum
C100100,35,F,Low,44,Green
C100101,48,F,Mid,86,Platinum
C100102,29,F,Mid,44,Gold
C100103,56,M,Mid,74,Platinum
C100104,23,F,Affluent,119,Platinum
C100105,49,F,Mid,122,Gold
C100106,43,M,Mid,134,Green
C100107,64,F,High,145,Green
C100108,25,F,Mid,51,Green
C100109,21,F,Low,38,Centurion
C100110,51,F,Mid,152,Centurion
C100111,21,M,Low,51,Gold
C100112,44,F,Affluent,10,Platinum
C100113,51,F,High,120,Platinum
C100114,42,F,Mid,149,Gold
C100115,40,M,High,70,Gold
C100116,42,M,High,85,Gold
C100117,47,F,Low,57,Gold
C100118,44,M,High,126,Green
C100119,24,F,Mid,39,Gold
C100120,58,M,High,33,Gold
C100121,38,F,High,18,Gold
C100122,43,M,Mid,57,Platinum
C100123,45,F,Low,96,Green
C100124,50,F,Mid,48,Green
C100125,49,M,Mid,42,Platinum
C100126,39,F,High,27,Gold
C100127,38,M,High,74,Green
C100128,42,F,Low,110,Gold
C100129,50,M,Mid,180,Gold
C100130,25,M,Mid,170,Platinum
C100131,45,M,Mid,32,Gold
C100132,28,F,Low,26,Green
C100133,58,M,Mid,25,Gold
C100134,42,M,Affluent,75,Platinum
C100135,33,F,Mid,23,Gold
C100136,42,M,Mid,57,Platinum
C100137,38,F,High,180,Green
C100138,36,F,Mid,126,Platinum
C100139,21,M,Affluent,87,Platinum
C100140,26,M,Affluent,31,Gold
C100141,36,F,Mid,64,Green
C100142,21,M,Mid,33,Platinum
C100143,31,M,Mid,2,Gold
C100144,32,F,Mid,18,Platinum
C100145,29,F,Low,175,Green
C100146,46,M,Mid,161,Green
C100147,28,F,Mid,84,Green
C100148,38,F,Low,35,Gold
C100149,34,F,Mid,179,Gold
C100150,36,F,Affluent,114,Gold
C100151,55,F,Mid,146,Gold
C100152,39,M,Low,110,Platinum
C100153,42,M,Mid,88,Green
C100154,29,M,Affluent,72,Green
C100155,44,M,Mid,125,Platinum
C100156,44,M,High,30,Gold
C100157,43,M,High,172,Gold
C100158,24,F,Mid,53,Gold
C100159,31,M,High,138,Gold
C100160,53,F,Mid,87,Green
C100161,30,M,Mid,180,Gold
C100162,55,F,Mid,177,Centurion
C100163,31,F,Mid,139,Gold
C100164,39,F,Low,164,Green
C100165,35,F,High,161,Platinum
C100166,28,F,Mid,175,Green
C100167,28,M,Low,13,Green
C100168,30,M,Low,40,Platinum
C100169,39,F,Mid,89,Green
C100170,47,M,High,68,Platinum
C100171,38,M,Low,42,Gold
C100172,37,M,Mid,147,Gold
C100173,51,M,Mid,94,Gold
C100174,38,M,Mid,19,Green
C100175,32,M,Low,23,Gold
C100176,27,M,High,54,Centurion
C100177,51,M,Mid,65,Platinum
C100178,34,M,Affluent,140,Gold
C100179,31,F,Low,24,Centurion
C100180,30,M,Mid,34,Green
C100181,51,F,Low,53,Green
C100182,31,M,Affluent,136,Green
C100183,48,F,High,18,Gold
C100184,35,M,Mid,57,Platinum
C100185,24,F,High,112,Gold
C100186,34,M,High,5,Platinum
C100187,37,F,Mid,154,Gold
C100188,36,M,Mid,158,Green
C100189,36,F,Mid,13,Green
C100190,34,M,Low,83,Platinum
C100191,29,F,High,29,Green
C100192,38,F,Affluent,3,Gold
C100193,43,F,Mid,90,Green
C100194,21,F,Mid,104,Green
C100195,52,M,Mid,123,Gold
C100196,21,M,High,76,Green
C100197,38,F,High,130,Platinum
C100198,43,M,High,108,Gold
C100199,31,F,High,156,Gold
C100200,21,M,Mid,82,Gold
C100201,36,F,Low,77,Gold
C100202,39,F,Low,2,Platinum
C100203,25,M,High,127,Green
C100204,28,F,Mid,135,Green
C100205,48,M,Low,26,Green
C100206,39,M,Low,88,Platinum
C100207,21,F,High,16,Centurion
C100208,42,M,Low,151,Green
C100209,27,F,Low,168,Gold
C100210,29,M,Mid,73,Green
C100211,40,F,High,32,Green
C100212,39,M,High,15,Gold
C100213,33,M,Mid,141,Green
C100214,32,M,High,5,Gold
C100215,35,M,Mid,74,Gold
C100216,29,F,Mid,52,Platinum
C100217,49,M,High,77,Gold
C100218,21,F,Mid,169,Gold
C100219,35,M,High,110,Gold
C100220,21,M,High,178,Green
C100221,48,M,Mid,143,Gold
C100222,35,M,Low,106,Green
C100223,26,M,Mid,127,Green
C100224,45,M,Mid,7,Gold
C100225,21,F,Mid,40,Platinum
C100226,41,M,Affluent,156,Green
C100227,50,M,Mid,160,Green
C100228,39,M,High,99,Green
C100229,32,F,Mid,143,Green
C100230,24,M,High,85,Gold
C100231,49,F,Mid,65,Green
C100232,48,M,Mid,132,Platinum
C100233,30,M,Mid,11,Platinum
C100234,31,M,Low,108,Gold
C100235,51,M,High,26,Gold
C100236,43,F,Mid,165,Green
C100237,21,M,Low,151,Green
C100238,35,M,Mid,85,Gold
C100239,35,M,Low,168,Green
C100240,40,M,Affluent,151,Gold
