exposure_id,customer_id,channel_name,channel_type,category,impression_date,clicked,click_date,viewed,view_date,redeemed,redemption_date,redemption_value,cost
E1000000,C101074,Display Ad,Paid,Dining,2025-06-02,0,,0,,0,,0.0,0.008
E1000001,C103204,Display Ad,Paid,Electronics,2024-12-28,0,,0,,0,,0.0,0.008
E1000002,C101028,Email,Owned,Electronics,2025-01-23,0,,0,,0,,0.0,0.002
E1000003,C100647,Social Media Ad,Paid,Dining,2024-02-01,0,,0,,0,,0.0,0.012
E1000004,C104833,Social Media Ad,Paid,Travel,2024-02-19,0,,0,,0,,0.0,0.012
E1000005,C103162,Social Media Ad,Paid,Retail,2025-07-13,0,,0,,0,,0.0,0.012
E1000006,C104915,Display Ad,Paid,Electronics,2024-03-05,0,,0,,0,,0.0,0.008
E1000007,C100902,Display Ad,Paid,Travel,2025-03-10,0,,0,,0,,0.0,0.008
E1000008,C104067,Push Notification,Owned,Retail,2025-04-20,0,,0,,0,,0.0,0.001
E1000009,C101503,Display Ad,Paid,Dining,2025-04-04,0,,0,,0,,0.0,0.008
E1000010,C102862,Display Ad,Paid,Grocery,2024-01-18,0,,0,,0,,0.0,0.008
E1000011,C104478,Display Ad,Paid,Electronics,2024-11-03,0,,0,,0,,0.0,0.008
E1000012,C102897,Display Ad,Paid,Retail,2024-03-10,0,,0,,0,,0.0,0.008
E1000013,C101345,Social Media Ad,Paid,Dining,2024-05-20,0,,0,,0,,0.0,0.012
E1000014,C100489,Email,Owned,Fuel,2024-09-18,0,,0,,0,,0.0,0.002
E1000015,C100425,Social Media Ad,Paid,Entertainment,2024-01-30,0,,0,,0,,0.0,0.012
E1000016,C102731,Email,Owned,Retail,2025-02-08,0,,0,,0,,0.0,0.002
E1000017,C103991,Email,Owned,Dining,2025-02-17,0,,0,,0,,0.0,0.002
E1000018,C101407,Social Media Ad,Paid,Health & Wellness,2025-04-20,0,,0,,0,,0.0,0.012
E1000019,C100422,Email,Owned,Fuel,2025-01-30,0,,0,,0,,0.0,0.002
E1000020,C102955,Social Media Ad,Paid,Dining,2024-04-12,0,,0,,0,,0.0,0.012
E1000021,C101214,Display Ad,Paid,Health & Wellness,2025-04-14,0,,0,,0,,0.0,0.008
