month,impressions,redemptions,total_cost,blended_cac
2024-01,4464,57,34.45,0.6044
2024-02,4108,50,30.9,0.6179
2024-03,4259,75,31.58,0.421
2024-04,4335,54,33.46,0.6197
2024-05,4429,60,34.65,0.5774
2024-06,4270,52,32.46,0.6243
2024-07,4364,54,32.95,0.6103
2024-08,4506,42,32.86,0.7823
2024-09,4410,63,33.22,0.5273
2024-10,4447,67,32.62,0.4868
2024-11,4202,64,32.41,0.5064
2024-12,4314,61,32.29,0.5294
2025-01,4557,57,34.31,0.602
2025-02,4031,53,30.45,0.5745
2025-03,4457,53,34.48,0.6506
2025-04,4231,60,32.36,0.5393
2025-05,4460,54,33.7,0.6241
2025-06,4285,59,31.94,0.5414
2025-07,1871,32,13.86,0.433
